date_times,id,pic_url,price,retailer,title,url
2017-04-24T07:43:47.748441+00:00,1,https://n3.sdlcdn.com/imgs/a/i/p/large/Sony-Earphone-MDR-G45-1222591-1-4a80e.jpg,774,AMAZON INDIA,Sony MDR-G45LP On-Ear Street Style Headphones (Black) Without Mic,
2017-04-24T07:43:47.768136+00:00,2,https://n3.sdlcdn.com/imgs/a/i/m/large/Sony-MDR-XB50AP-In-Ear-SDL016034038-1-84a57.jpg,2290,AMAZON INDIA,Sony MDR-XB50AP In-Ear Extra Bass(XB) Headphones with Mic (Blue) With Mic,
2017-04-24T07:43:47.778935+00:00,3,https://n3.sdlcdn.com/imgs/a/p/n/large/Sony-MDR-AS200-In-the-SDL348366675-1-c04e5.jpg,699,AMAZON INDIA,Sony MDR-AS200 Sports In-Ear Earphones Without Mic (Orange),
2017-04-24T07:43:47.790597+00:00,4,https://n3.sdlcdn.com/imgs/e/s/y/large/Sony-MDR-E9LP-In-Ear-SDL304994539-1-55286.jpg,549,AMAZON INDIA,Sony MDR-E9LP In-Ear Headphones (Blue),
2017-04-24T07:43:47.801141+00:00,5,https://n3.sdlcdn.com/imgs/c/k/2/large/Sony_HD_SL2_2TB_External_SDL578159327_1_2b2c5-e4638.jpg,5100,AMAZON INDIA,Sony HD-SL1 1TB External Slim Hard Disk - Black,
2017-04-24T07:43:47.812458+00:00,6,https://n3.sdlcdn.com/imgs/a/n/e/large/Sony-MDR-XB450-On-the-SDL000751969-1-5814a.jpg,1846,AMAZON INDIA,Sony MDR-XB450/BQ(IN) On Ear Wired Headphones (Black),
2017-04-24T07:43:47.823477+00:00,7,https://n3.sdlcdn.com/imgs/a/n/r/large/Sony-MDR-XB450-On-the-SDL715242764-1-25550.jpg,1944,AMAZON INDIA,Sony MDR-XB450/LQ(IN) On-Ear Extra Bass(XB) Headphones (Blue) Without Mic,
2017-04-24T07:43:47.835087+00:00,8,https://n3.sdlcdn.com/imgs/b/6/4/large/Gray-aa7f9.JPG,379,AMAZON INDIA,Sony MDR-E8LP In Ear Earphones Without Mic (Grey),
2017-04-24T07:43:47.845626+00:00,9,https://n3.sdlcdn.com/imgs/a/7/j/large/Sony-MDR-EX150-B-In-SDL697026112-1-a5497.jpg,846,AMAZON INDIA,Sony MDR-EX150 In-Ear Earphones Without Mic (Black),
2017-04-24T07:43:47.857068+00:00,10,https://n3.sdlcdn.com/imgs/b/f/0/large/Sony-MDR-EX150AP-In-Ear-SDL000863549-1-d038e.jpg,1090,AMAZON INDIA,Sony MDR-EX150AP In Ear Wired Earphones With Mic Black,
2017-04-24T07:43:47.867971+00:00,11,https://n3.sdlcdn.com/imgs/c/s/c/large/Sony-MDR-AS210-BQIN-Ear-SDL963117662-1-c814a.jpg,699,AMAZON INDIA,Sony  MDR-AS210 Open-Ear Active Sports Headphones (Black),
2017-04-24T07:43:47.879236+00:00,12,https://n3.sdlcdn.com/imgs/a/i/q/large/Sony-MDR-E15LP-Black-Headphone-SDL868289482-1-33d3b.jpg,594,AMAZON INDIA,Sony MDR EX15LP In Ear Earphones (Black) Without Mic,
2017-04-24T07:43:47.890629+00:00,13,https://n3.sdlcdn.com/imgs/b/s/3/large/Sony-KDL-43W800D-109-cm-SDL505254555-1-4620b.jpg,58000,AMAZON INDIA,Sony BRAVIA KDL-43W800D 108cm (43) Full HD 3D LED Android TV,
2017-04-24T07:43:47.901456+00:00,14,https://n3.sdlcdn.com/imgs/b/d/e/large/Sony-Bravia-KLV-22P413D-55-SDL777567554-1-8ada8.jpg,12955,AMAZON INDIA,Sony Bravia KLV-22P413D 54.6 cm (22) Full HD LED Television,
2017-04-24T07:43:47.912469+00:00,15,https://n3.sdlcdn.com/imgs/a/s/l/large/Sony-Mdr-Xb-450ap-Extra-SDL536083931-1-77540.jpg,2035,AMAZON INDIA,Sony MDR-XB450AP On-Ear Extra Bass(XB) Headphones with Mic (Black) With Mic,
2017-04-24T07:43:47.923812+00:00,16,https://n3.sdlcdn.com/imgs/b/u/5/large/Sony-KLV-32W512D-81-cm-SDL759905332-1-78ea9.jpg,31450,AMAZON INDIA,Sony BRAVIA KLV-32W512D 80 cm (32) HD Ready Internet LED Television,
2017-04-24T07:43:47.935535+00:00,17,https://n3.sdlcdn.com/imgs/a/i/q/large/Sony-DZ-350-5-1-SDL839143197-1-621fd.jpg,20990,AMAZON INDIA,Sony DZ-350 5.1 DVD Home Theatre System,
2017-04-24T07:43:47.945795+00:00,18,https://n3.sdlcdn.com/imgs/b/6/4/large/Gold-b404d.JPG,369,AMAZON INDIA,Sony MDR-E8LP In Ear Earphones Without Mic (Gold),
2017-04-24T07:43:47.957319+00:00,19,https://n3.sdlcdn.com/imgs/b/x/h/large/Sony-SRS-XB3-RC-IN5-SDL565104631-1-5936a.jpg,12971,AMAZON INDIA,Sony SRS-XB3/RC IN5 Bluetooth Speakers - Red,
2017-04-24T07:43:47.968240+00:00,20,https://n3.sdlcdn.com/imgs/c/z/f/large/Sony-40R352D-102-cm-40-SDL712426603-1-90e89.jpg,39730,AMAZON INDIA,Sony 40R352D 101.6 cm ( 40 ) Full HD (FHD) LED Television,
